,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,car_photo,dealer_name,dealer_address,sunroof,TPMS,SRS,keyless,ESP,ABS,cruise_sys,HID_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,leather_seat,parking_radar,parking_camera,BSM,LDW,source
843,235667,LUXGEN,U6 TURBO,2014,62696,398000,白,1800,2.0,汽油,自排,1,新北市,納智捷U6 1.8,https://www.hotcar.com.tw/UPLOAD/CW/HA1061/2588912.jpg,永裕車業,新北市板橋區文化路一段201之1號,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,HOT
844,235662,LEXUS,RX200t,2015,106454,1380000,鐵灰,2000,2.0,汽油,手自排,1,新北市,Lexus RX200t 熱門休旅 渦輪增壓 一手車 全車原鈑件 里程保證,https://www.hotcar.com.tw/UPLOAD/CW/HA1074/2588867.jpg,弘國汽車,新北市五股區新五路三段27號,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,HOT
845,235658,LEXUS,NX200t,2017,99508,1180000,棕,2000,2.0,汽油,手自排,1,新北市,Lexus NX200t 頂級旗艦版 無線充電 渦輪增壓 全車原鈑件,https://www.hotcar.com.tw/UPLOAD/CW/HA1074/2588826.jpg,弘國汽車,新北市五股區新五路三段27號,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,HOT
846,235657,NISSAN,TIIDA,2014,194120,368000,淺藍,1600,2.0,,自排,1,台南市,車況優,https://www.hotcar.com.tw/UPLOAD/CW/HE1028/2588802.jpg,義美汽車,台南市仁德區民安路一段157號1樓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
847,235653,HYUNDAI,TUCSON,2016,106594,498000,白,2000,2.0,,手自排,1,雲林縣,優質好車,https://www.hotcar.com.tw/UPLOAD/CW/HE3015/2588718.jpg,耐斯汽車,雲林縣斗六市雲林路二段439-1號,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,HOT
848,235651,MITSUBISHI,FORTIS,2010,184202,188000,鐵灰,1800,2.0,汽油,手自排,1,雲林縣,優質好車,https://www.hotcar.com.tw/UPLOAD/CW/HE3015/2588693.jpg,耐斯汽車,雲林縣斗六市雲林路二段439-1號,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
849,235616,TOYOTA,RAV4,2018,75689,698000,黑,2000,2.0,汽油,手自排,1,嘉義市,2018年RAV4 2000CC 原廠保固中. 新車利率貸款,https://www.hotcar.com.tw/UPLOAD/CW/HE2020/2588300.jpg,祥順汽車,嘉義市西區中興路422之1號,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,HOT
850,235603,MAZDA,MAZDA 3,2017,63576,558000,深藍,2000,2.0,汽油,手自排,1,苗栗縣,2017混動馬3,https://www.hotcar.com.tw/UPLOAD/CW/HC3005/2588169.jpg,駿品汽車,苗栗縣頭份鎮蟠桃里中興路436巷1號1樓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
851,235602,TOYOTA,YARIS,2012,144139,298000,黑,1500,2.0,汽油,自排,1,苗栗縣,2012Yaris,https://www.hotcar.com.tw/UPLOAD/CW/HC3005/2588160.jpg,駿品汽車,苗栗縣頭份鎮蟠桃里中興路436巷1號1樓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOT
852,235600,HONDA,CIVIC,2012,239346,368000,白,1800,2.0,汽油,自排,1,桃園市,2012白帥帥CIVIC漂亮登場,https://www.hotcar.com.tw/UPLOAD/CW/HC1153/2588116.jpg,達峰汽車,桃園市桃園區三民路二段41-1號,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,HOT
