,car_brand,car_model,car_year,car_mileage,car_price,source
179,FORD,FIESTA ,2017,81065,408000,SUM
180,HYUNDAI,IX35,2012,209239,259000,SUM
181,LUXGEN,S3,2016,20123,299000,SUM
182,NISSAN,TEANA ,2017,92339,428000,SUM
183,HYUNDAI,KONA,2020,2254,779000,SUM
184,LUXGEN,LUXGEN7 MPV 2.2T,2010,192711,208000,SUM
185,MITSUBISHI,LANCER FORTIS ,2012,90053,249000,SUM
187,TOYOTA,CAMRY ,2010,146000,318000,SUM
188,TOYOTA,WISH ,2016,110418,469000,SUM
189,LEXUS,IS ,2018,50000,1228000,SUM
190,TOYOTA,YARIS ,2014,80000,328000,SUM
191,TOYOTA,YARIS ,2017,100237,418000,SUM
192,HYUNDAI,SANTA FE ,2017,86600,639000,SUM
193,TOYOTA,VIOS ,2018,57007,369000,SUM
194,MITSUBISHI,COLT PLUS ,2016,57035,299000,SUM
196,SUBARU,FORESTER ,2014,38296,539000,SUM
198,LUXGEN,LUXGEN7 MPV 2.2T,2010,79610,239000,SUM
199,BMW,2 SERIES GRAN COUPE 2020-,2020,8062,1498000,SUM
200,MITSUBISHI,ZINGER,2018,78901,378000,SUM
201,FORD,FOCUS 5D,2014,110192,368000,SUM
202,TOYOTA,RAV4 ,2021,13,889000,SUM
203,TOYOTA,YARIS CROSSOVER,2019,34571,588000,SUM
204,BENZ,GLC-CLASS COUPE ,2017,67220,1898000,SUM
205,BMW,X1 F48 ,2019,31127,1298000,SUM
206,NISSAN,BIG TIIDA 5D ,2015,36717,409000,SUM
207,FORD,FOCUS 4D,2017,46697,398000,SUM
208,TOYOTA,WISH ,2016,97390,528000,SUM
209,MITSUBISHI,OUTLANDER ,2009,115812,258000,SUM
210,TOYOTA,WISH ,2015,112771,469000,SUM
211,MAZDA,MAZDA 3 4D ,2016,36940,568000,SUM
212,MASERATI,LEVANTE,2020,3900,3280000,SUM
213,LUXGEN,M7 TURBO ECO HYPER ,2017,45516,479000,SUM
214,TOYOTA,ALTIS ,2018,21264,529000,SUM
215,NISSAN,X-TRAIL ,2016,31861,559000,SUM
216,MITSUBISHI,OUTLANDER ,2016,101462,469000,SUM
217,NISSAN,SUPER SENTRA ,2016,96250,339000,SUM
219,NISSAN,TIIDA 5D ,2010,125000,238000,SUM
220,BENZ,B-CLASS W246 ,2013,117738,678000,SUM
221,BENZ,C-CLASS SEDAN W205 ,2016,31731,1129000,SUM
222,HONDA,CIVIC,2009,175667,278000,SUM
223,BENZ,C-CLASS SEDAN W204 ,2013,138371,699000,SUM
224,NISSAN,SUPER SENTRA ,2018,62503,488000,SUM
225,MITSUBISHI,OUTLANDER ,2013,110000,358000,SUM
226,MAZDA,MAZDA 3 ,2010,96558,298000,SUM
227,SKODA,FABIA,2015,50924,418000,SUM
228,TOYOTA,WISH ,2013,155260,458000,SUM
229,VOLVO,S90,2019,18000,1388000,SUM
230,HYUNDAI,ELANTRA EX ,2017,70115,399000,SUM
231,SMART,FORFOUR ,2017,84789,508000,SUM
232,LUXGEN,LUXGEN7 SUV 2.2T,2012,129886,248000,SUM
233,FORD,FOCUS ,2009,121349,198000,SUM
234,MITSUBISHI,ZINGER,2013,149896,269000,SUM
235,LUXGEN,U5,2018,52646,458000,SUM
236,TOYOTA,RAV4 ,2018,39252,758000,SUM
237,MAZDA,MAZDA 3 ,2011,72029,298000,SUM
238,LUXGEN,S5 TURBO ECO HYPER,2018,20437,429000,SUM
239,MAZDA,MAZDA 3 5D ,2016,81993,648000,SUM
240,TOYOTA,ALTIS ,2014,104078,428000,SUM
241,MAZDA,CX-3,2016,67013,589000,SUM
242,LUXGEN,U5,2017,25947,458000,SUM
243,FORD,FIESTA ,2018,59586,429000,SUM
244,NISSAN,GRAND LIVINA ,2012,141371,328000,SUM
245,FORD,FIESTA ,2018,55470,429000,SUM
246,HYUNDAI,IX35,2011,77345,328000,SUM
247,HONDA,CR-V ,2018,77739,798000,SUM
248,HYUNDAI,SANTA FE ,2019,48016,659000,SUM
249,HYUNDAI,SANTA FE ,2015,137212,638000,SUM
250,MAZDA,CX-9,2018,93724,1099000,SUM
251,HONDA,ODYSSEY ,2016,51108,1139000,SUM
253,TOYOTA,ALTIS ,2013,223756,338000,SUM
254,TOYOTA,RAV4 ,2017,39844,748000,SUM
255,TOYOTA,ALTIS ,2014,173007,358000,SUM
256,TOYOTA,ALTIS ,2018,55318,528000,SUM
257,HYUNDAI,VERNA,2016,78086,308000,SUM
258,TOYOTA,YARIS ,2019,25118,498000,SUM
259,MAZDA,MAZDA 3 5D ,2016,97662,598000,SUM
261,SKODA,FABIA,2018,40729,548000,SUM
