,car_brand,car_model,car_year,car_mileage,car_price,source
13367,MITSUBISHI,DELICA廂車 ,2010,188244,268000,SUM
13368,MITSUBISHI,LANCER FORTIS ,2010,105000,268000,SUM
13369,TOYOTA,YARIS ,2011,140000,278000,SUM
13370,MITSUBISHI,LANCER FORTIS ,2011,150000,298000,SUM
13371,HONDA,FIT ,2011,90000,338000,SUM
13372,MITSUBISHI,VERYCA 貨車,2016,0,330000,SUM
13373,MITSUBISHI,LANCER IO ,2013,0,348000,SUM
13374,NISSAN,NEW BLUEBIRD SYLPHY,2009,0,148000,SUM
13375,BENZ,X-CLASS ,2018,0,1980000,SUM
13376,NISSAN,TIIDA 4D,2011,0,218000,SUM
13377,LUXGEN,LUXGEN7 SUV 2.2T,2011,99000,198000,SUM
13378,FORD,ECONOVAN貨車 ,2010,0,218000,SUM
13379,TOYOTA,INNOVA,2012,0,268000,SUM
13380,BMW,3 SERIES SEDAN E90 ,2005,147404,198000,SUM
13381,LEXUS,CT200H ,2015,93820,698000,SUM
13382,PORSCHE,CAYENNE ,2013,200000,1200000,SUM
13383,MAZDA,MAZDA2,2010,140000,238000,SUM
13384,NISSAN,X-TRAIL ,2005,101096,110000,SUM
13385,SUZUKI,SWIFT ,2011,162080,288000,SUM
13386,TOYOTA,RAV4,2011,179962,368000,SUM
13387,LEXUS,ES ,2014,101026,719000,SUM
13388,SUZUKI,SX4 4D,2008,132385,148000,SUM
13389,BMW,3 SERIES GRAN TURISMO F34,2014,90000,988000,SUM
13390,TOYOTA,CAMRY ,2008,150231,288000,SUM
13391,NISSAN,ROGUE ,2009,215062,149000,SUM
13392,LEXUS,CT200H ,2013,115000,538000,SUM
13393,BMW,3 SERIES SEDAN F30 ,2014,183651,898000,SUM
13394,ISUZU,ELF,2009,210829,569000,SUM
13395,HYUNDAI,SANTA FE ,2008,210417,228000,SUM
13396,SUZUKI,SOLIO,2003,114575,115000,SUM
13397,FORD,ECOSPORT ,2014,121399,328000,SUM
13398,BENZ,C-CLASS SEDAN W204 ,2011,120018,688000,SUM
13399,MAZDA,CX-5,2014,127017,488000,SUM
13400,MITSUBISHI,VERYCA廂車 ,2003,1,158000,SUM
13401,NISSAN,SENTRA 180,2003,180300,68000,SUM
13402,FORD,TIERRA LS ,2005,215128,78000,SUM
13403,VW,GOLF VII,2014,125941,438000,SUM
13404,TOYOTA,ZACE SURF 廂車 ,2005,244311,118000,SUM
