,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolumn,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,dealer_name,dealer_address,sunroof,TPMS,SRS,keyless,theft_alarm,central_lock,ESP,TCS,ABS,cruise_sys,HID_head,LED_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,SW_button,leather_seat,parking_radar,parking_camera,BSM,ACC,LDW,source
7474,575184,VW,PASSAT ,2011,180000,328000,白,4,5,2000,2,柴油,自手排,1,新竹縣,11年 PASSAT 2.0TDI 柴油渦輪引擎一手車 全原廠保養 無待修 超省油 大扭力,冠鈜車業,新竹縣竹北市中華路416號,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,SUM
7475,575142,BENZ,CLS-CLASS W219,2008,172489,658000,白,4,5,5500,2,汽油,手自排,1,高雄市,2008年 CLS550 選配駝色內裝 衛星導航 天窗 電動尾門,坤獅汽車,高雄市鳳山區建國路三段368號(http://goo.gl/maps/5f0OB),1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,SUM
7476,574986,TOYOTA,VIOS ,2005,155791,158000,白,4,5,1500,2,汽油,自排,1,彰化縣,2006年式G版液晶儀錶板/Yes認證全車原鈑件/2021出廠米其林輪胎+全新鋁圈,永春汽車,彰化縣花壇鄉中山路二段463號(彰化監理站北邊100公尺),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
7477,574749,NISSAN,SUPER SENTRA ,2015,77422,328000,銀,4,5,1800,2,汽油,自排,1,高雄市,2015年 SUPER SENTRA 銀 省油省稅金,坤獅汽車,高雄市鳳山區建國路三段368號(http://goo.gl/maps/5f0OB),0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,SUM
7480,574167,INFINITI,G SEDAN,2012,90000,388000,灰,4,5,2500,2,汽油,手自排,1,新北市,後驅V6自然進氣猛獸，不到四十萬買超大218P馬力，一年稅金只要兩萬二，超保值進口車款，享受V6大馬力魅力又不用負擔高額,元禾汽車,新北市樹林區中正路421號(樹林區監理站),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
7481,574152,BENZ,A-CLASS W176,2013,120000,798000,白,5,5,1600,2,汽油,自手排,1,苗栗縣,BENZ A180 一手女用車 外觀內裝漂亮,廷昱汽車,苗栗縣竹南鎮龍江街27號,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM
7485,573722,NISSAN,NEW BLUEBIRD SYLPHY,2012,143457,188000,黑,4,5,2000,2,汽油,自排,1,高雄市,電動後視鏡_恆溫空調_雙安全氣囊_ABS_鋁圈,坤獅汽車,高雄市鳳山區建國路三段368號(http://goo.gl/maps/5f0OB),0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,SUM
7486,573718,HYUNDAI,GRAND STAREX ,2017,77118,798000,黑,5,8,2500,2,柴油,手自排,1,高雄市,定速_電動後視鏡_後座出風口_恆溫空調_前霧燈,坤獅汽車,高雄市鳳山區建國路三段368號(http://goo.gl/maps/5f0OB),0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,SUM
7487,573709,BENZ,E-CLASS W212 ,2009,176677,538000,黑,4,5,1800,2,汽油,手自排,1,高雄市,定速_電動腰靠_雙區恆溫_感應式雨刷_HID大燈_LED尾燈,坤獅汽車,高雄市鳳山區建國路三段368號(http://goo.gl/maps/5f0OB),0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,SUM
7488,573546,TOYOTA,WISH ,2008,121456,258000,棕,5,7,2000,2,汽油,手自排,1,南投縣,1手車少跑,鋒聯汽車,南投縣埔里鎮信義路850號,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,SUM
