,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolumn,car_driveMode,car_gearType,verified,source
44,TOYOTA,ALTIS ,2017,31419.0,498000,灰,4,5,1800,2,手自排,1.0,SUM
45,HYUNDAI,SUPER ELANTRA ,2018,62702.0,428000,銀,4,5,1600,2,手自排,1.0,SUM
46,MITSUBISHI,COLT PLUS ,2018,92762.0,348000,藍,5,5,1500,2,手自排,1.0,SUM
47,BENZ,GLA-CLASS X156 ,2015,16604.0,959000,棕,5,5,1600,2,自手排,1.0,SUM
48,HYUNDAI,GRAND STAREX ,2015,124395.0,588000,銀,5,9,2500,2,手自排,1.0,SUM
49,TOYOTA,ALTIS ,2017,36591.0,468000,黑,4,5,1800,2,手自排,1.0,SUM
50,TOYOTA,YARIS ,2018,70144.0,428000,白,5,5,1500,2,手自排,1.0,SUM
51,MITSUBISHI,ZINGER,2018,30000.0,398000,白,5,5,2400,2,自排,1.0,SUM
52,FORD,KUGA ,2018,50883.0,669000,灰,5,5,1500,2,手自排,1.0,SUM
53,MITSUBISHI,SUPER DELICA,2018,91120.0,398000,銀,5,8,2400,2,手排,1.0,SUM
54,BENZ,E-CLASS W213 ,2017,93000.0,1838000,白,4,5,2000,2,手自排,1.0,SUM
55,NISSAN,X-TRAIL ,2017,81292.0,608000,藍,5,5,2000,2,手自排,1.0,SUM
56,HONDA,FIT ,2017,48234.0,458000,白,5,5,1500,2,手自排,1.0,SUM
57,HYUNDAI,SUPER ELANTRA ,2018,89738.0,428000,白,4,5,1600,2,手自排,1.0,SUM
59,NISSAN,KICKS,2018,35000.0,588000,黑,5,5,1500,2,自排,1.0,SUM
60,TOYOTA,YARIS ,2018,16555.0,438000,白,5,5,1500,2,手自排,1.0,SUM
61,NISSAN,SUPER SENTRA ,2017,89863.0,358000,銀,4,5,1800,2,自排,1.0,SUM
62,NISSAN,LIVINA,2013,150000.0,248000,白,5,5,1600,2,自排,1.0,SUM
65,MITSUBISHI,SUPER DELICA,2018,73463.0,368000,白,2,3,2400,2,手排,1.0,SUM
66,MITSUBISHI,SUPER DELICA,2018,85816.0,398000,白,5,8,2400,2,手排,1.0,SUM
68,TOYOTA,WISH ,2015,60415.0,498000,白,5,7,2000,2,手自排,1.0,SUM
69,FORD,KUGA ,2015,86868.0,518000,灰,5,5,1500,2,手自排,1.0,SUM
70,MITSUBISHI,COLT PLUS ,2014,116528.0,238000,白,5,5,1500,2,手自排,1.0,SUM
71,NISSAN,LIVINA,2018,38000.0,388000,藍,5,5,1600,2,自排,1.0,SUM
72,TOYOTA,YARIS ,2018,72398.0,438000,白,5,5,1500,2,手自排,1.0,SUM
73,LEXUS,NX ,2018,43000.0,1168000,白,5,5,2000,2,手自排,1.0,SUM
74,MITSUBISHI,OUTLANDER ,2018,35824.0,598000,灰,5,7,2400,2,自排,1.0,SUM
75,FORD,FOCUS,2013,123132.0,288000,灰,4,5,1600,2,自手排,1.0,SUM
76,NISSAN,BIG TIIDA 5D ,2014,58809.0,378000,白,5,5,1600,2,自排,1.0,SUM
77,MITSUBISHI,LANCER IO ,2012,144925.0,298000,白,4,5,1800,2,手自排,1.0,SUM
79,MITSUBISHI,LANCER FORTIS ,2017,37225.0,388000,黑,4,5,1800,2,手自排,1.0,SUM
80,BENZ,CLA-CLASS,2017,40000.0,1188000,白,4,5,1600,2,自手排,1.0,SUM
81,MITSUBISHI,ZINGER,2016,154859.0,328000,黑,5,5,2400,2,自排,1.0,SUM
82,MITSUBISHI,COLT PLUS ,2017,69314.0,338000,白,5,5,1500,2,手自排,1.0,SUM
83,HONDA,CIVIC,2009,180570.0,338000,黑,4,5,1800,2,手自排,1.0,SUM
84,TOYOTA,YARIS ,2018,64676.0,458000,白,5,5,1500,2,手自排,1.0,SUM
85,FORD,FOCUS 5D ,2015,150654.0,328000,灰,5,5,1000,2,手自排,1.0,SUM
86,BMW,X1 F48 ,2015,84424.0,918000,黑,5,5,2000,2,手自排,1.0,SUM
87,MITSUBISHI,LANCER FORTIS ,2010,149090.0,208000,白,4,5,1800,2,手自排,1.0,SUM
88,MITSUBISHI,LANCER FORTIS ,2009,93642.0,248000,白,4,5,1800,2,手自排,1.0,SUM
89,LUXGEN,LUXGEN7 MPV 2.2T,2014,80541.0,368000,灰,5,7,2200,2,手自排,1.0,SUM
90,TOYOTA,WISH ,2015,113877.0,478000,銀,5,7,2000,2,手自排,1.0,SUM
91,MITSUBISHI,GRAND LANCER,2017,76330.0,378000,藍,4,5,1800,2,手自排,1.0,SUM
92,NISSAN,SUPER SENTRA ,2017,30480.0,418000,黑,4,5,1800,2,自排,1.0,SUM
94,MITSUBISHI,NEW CANTER,2016,67055.0,888000,藍,2,3,3000,2,手排,1.0,SUM
95,LUXGEN,M7 TURBO ECO HYPER ,2016,90171.0,428000,灰,5,8,2200,2,手自排,1.0,SUM
96,NISSAN,BIG TIIDA 5D ,2015,96854.0,368000,紅,5,5,1600,2,自排,1.0,SUM
97,HONDA,FIT ,2018,66894.0,508000,白,5,5,1500,2,手自排,1.0,SUM
98,MAZDA,MAZDA 3 ,2012,144090.0,328000,白,5,5,2000,2,手自排,1.0,SUM
99,BENZ,C-CLASS SEDAN W205 ,2014,81029.0,938000,銀,4,5,2000,2,手自排,1.0,SUM
100,SUBARU,FORESTER ,2013,126305.0,498000,白,5,5,2000,4,手自排,1.0,SUM
101,NISSAN,iTIIDA ,2017,39132.0,518000,白,5,5,1600,2,自排,1.0,SUM
102,TOYOTA,ALTIS ,2015,98636.0,468000,灰,4,5,1800,2,手自排,1.0,SUM
103,MAZDA,MAZDA 5 ,2015,67560.0,498000,白,5,7,2000,2,手自排,1.0,SUM
104,TOYOTA,RAV4 ,2017,21164.0,758000,白,5,5,2000,2,手自排,1.0,SUM
