,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,car_color,car_door,car_seat,auto_gas_size,car_driveMode,car_fuel,auto_tab_name,verified,source
89,LUXGEN,U6 TURBO ECO HYPER,2017,40000,208000,白,5,5,1800,2,汽油,自排,0.0,8891
90,MAZDA,CX-3,2018,21000,658000,紅,5,5,2000,2,汽油,手自排,1.0,8891
91,MERCEDES-BENZ,GLC,2017,35000,1798000,白,5,5,2000,2,汽油,手自排,0.0,8891
92,AUDI,A6,2014,61000,768000,灰,4,5,2000,2,汽油,手自排,0.0,8891
93,LEXUS,NX,2017,120000,1050000,白,5,5,2000,4,汽油,手自排,0.0,8891
94,MERCEDES-BENZ,E-CLASS ESTATE,2016,77000,1780000,白,5,5,2000,2,汽油,手自排,0.0,8891
95,PORSCHE,MACAN,2016,82000,1738000,黑,5,5,2000,4,汽油,手自排,0.0,8891
96,HINO,300,2015,170000,798000,白,2,3,4000,2,柴油,手排,0.0,8891
97,HONDA,HR-V,2018,35000,598000,黑,5,5,1800,2,汽油,手自排,0.0,8891
98,TOYOTA,PREVIA,2005,140000,388000,銀,5,7,2400,2,汽油,自排,0.0,8891
99,BMW,1-SERIES HATCHBACK,2013,95000,680000,白,5,5,1600,2,汽油,手自排,0.0,8891
100,PORSCHE,MACAN,2017,61000,1850000,白,5,5,2000,4,汽油,手自排,0.0,8891
101,MERCEDES-BENZ,C-CLASS SEDAN,2018,30000,1658000,白,4,5,2000,2,汽油,自手排,0.0,8891
102,MERCEDES-BENZ,C-CLASS SEDAN,2018,39000,1658000,黑,4,5,2000,2,汽油,自手排,0.0,8891
103,MERCEDES-BENZ,E-CLASS SEDAN,2020,1000,6380000,灰,4,5,4000,4,汽油,自手排,0.0,8891
104,MERCEDES-BENZ,E-CLASS SEDAN,2018,26000,2088000,黑,4,5,2000,2,汽油,自手排,0.0,8891
105,MERCEDES-BENZ,GLC COUPE,2019,5000,4580000,白,5,5,4000,4,汽油,自手排,0.0,8891
106,BMW,M5,2012,52000,1888000,黑,4,5,4400,2,汽油,自手排,0.0,8891
107,MERCEDES-BENZ,C-CLASS COUPE,2018,30000,3480000,白,2,4,4000,2,汽油,自手排,0.0,8891
108,MERCEDES-BENZ,GLC,2017,39000,2380000,白,5,5,3000,4,汽油,自排,0.0,8891
109,MINI,COUNTRYMAN S,2011,100000,599000,藍,5,5,1600,2,汽油,手自排,0.0,8891
110,MERCEDES-BENZ,E-CLASS ESTATE,2014,30000,1299000,銀,5,5,2000,2,汽油,手自排,0.0,8891
111,PORSCHE,CAYENNE,2019,19000,3580000,灰,5,5,3000,4,汽油,手自排,0.0,8891
112,MERCEDES-BENZ,CLS,2019,25000,3050000,黑,4,5,3000,4,汽油,手自排,0.0,8891
113,MERCEDES-BENZ,A-CLASS,2018,9000,1588000,黑,5,5,2000,2,汽油,自手排,0.0,8891
114,MERCEDES-BENZ,E-CLASS SEDAN,2017,48000,1680000,黑,4,5,2000,4,汽油,自排,0.0,8891
115,BMW,7-SERIES,2015,38000,1899000,灰,4,5,3000,2,汽油,手自排,0.0,8891
116,PORSCHE,CAYENNE,2013,185000,980000,白,5,5,3600,4,汽油,手自排,0.0,8891
