,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_gear,verified,source
344,BMW,730D,2018.0,60968.0,460000.0,黑,2993.0,手自排,1.0,ISAVE
346,VOLKSWAGEN,T6,2018.0,64435.0,2458000.0,黑,1968.0,手自排,1.0,ISAVE
347,TOYOTA,YARIS,2018.0,55965.0,398000.0,銀,1496.0,手自排,1.0,ISAVE
348,TOYOTA,YARIS,2018.0,80000.0,499000.0,灰,1496.0,手自排,1.0,ISAVE
349,MINI,COUNTRY MAN,2018.0,70000.0,1198000.0,藍,1499.0,手自排,1.0,ISAVE
350,BENZ,GLE43,2018.0,96506.0,818000.0,黑,2996.0,手自排,1.0,ISAVE
351,MITSUBISHI,DELICA,2018.0,38139.0,538000.0,,2351.0,手排,1.0,ISAVE
352,FORD,FOCUS,2018.0,23231.0,928000.0,藍,1499.0,手自排,1.0,ISAVE
353,VOLKSWAGEN,GOLF GTI,2018.0,60000.0,1170000.0,灰,1984.0,手自排,1.0,ISAVE
354,MITSUBISHI,OUTLANDER,2018.0,6640.0,628000.0,白,2359.0,自排,1.0,ISAVE
355,FORD,FOCUS,2018.0,25904.0,1480000.0,白,1499.0,手自排,1.0,ISAVE
356,VOLVO,V40,2018.0,49870.0,728000.0,藍,1969.0,手自排,1.0,ISAVE
357,NISSAN,370Z,2018.0,72000.0,398000.0,紅,3696.0,手自排,1.0,ISAVE
358,LUXGEN,M7,2018.0,30000.0,838000.0,黑,2198.0,手自排,1.0,ISAVE
359,BENZ,C200,2018.0,9000.0,1750000.0,藍,1497.0,手自排,1.0,ISAVE
360,MAZDA,MAZDA 3,2018.0,40000.0,498000.0,白,1998.0,手自排,1.0,ISAVE
361,TOYOTA,VIOS,2018.0,55310.0,998000.0,,1496.0,手自排,1.0,ISAVE
362,MAZDA,CX-5,2018.0,32289.0,938000.0,灰,1998.0,手自排,1.0,ISAVE
364,TOYOTA,ALTIS,2018.0,41688.0,485000.0,灰,1798.0,手自排,1.0,ISAVE
365,BMW,218,2018.0,19334.0,888000.0,白,1499.0,手自排,1.0,ISAVE
366,AUDI,Q2,2018.0,28609.0,1330000.0,紅,1395.0,手自排,1.0,ISAVE
367,HYUNDAI,ELANTRA,2018.0,30000.0,1398000.0,,1591.0,手自排,1.0,ISAVE
368,NISSAN,SENTRA,2018.0,27000.0,479000.0,白,1798.0,自排,1.0,ISAVE
369,VOLVO,V40,2018.0,65621.0,398000.0,藍,1498.0,手自排,1.0,ISAVE
371,MINI,COUNTRY MAN,2018.0,51000.0,538000.0,白,1998.0,手自排,1.0,ISAVE
372,LAND ROVER,DISCOVERY,2018.0,17684.0,9990000.0,紅,1997.0,手自排,1.0,ISAVE
373,TOYOTA,YARIS,2018.0,10687.0,538000.0,灰,1496.0,手自排,1.0,ISAVE
374,NISSAN,LIVINA,2018.0,44480.0,528000.0,白,1598.0,自排,1.0,ISAVE
375,FORD,KUGA,2018.0,12860.0,598000.0,紅,1498.0,手自排,1.0,ISAVE
376,TOYOTA,ALTIS,2018.0,40567.0,618000.0,銀,1798.0,手自排,1.0,ISAVE
378,TOYOTA,ALTIS,2018.0,47570.0,758000.0,灰,1798.0,手自排,1.0,ISAVE
380,FORD,FOCUS,2018.0,40493.0,1358000.0,灰,1499.0,自排,1.0,ISAVE
381,MAZDA,MAZDA 3,2018.0,36245.0,428000.0,白,1998.0,手自排,1.0,ISAVE
382,TOYOTA,ALTIS,2018.0,13006.0,488000.0,紅,1798.0,手自排,1.0,ISAVE
383,SUBARU,FORESTER,2018.0,78380.0,438000.0,白,1955.0,手自排,1.0,ISAVE
384,TOYOTA,YARIS,2018.0,17000.0,628000.0,白,1500.0,手自排,1.0,ISAVE
385,BMW,X2,2018.0,23098.0,518000.0,黃,1499.0,手自排,1.0,ISAVE
386,MITSUBISHI,DELICA,2018.0,61616.0,1298000.0,銀,2353.0,手排,1.0,ISAVE
388,MITSUBISHI,ZINGER,2018.0,58700.0,1220000.0,,2378.0,自排,1.0,ISAVE
389,TOYOTA,SIENTA,2018.0,7793.0,608000.0,灰,1798.0,自排,1.0,ISAVE
390,HONDA,FIT,2018.0,50786.0,690000.0,白,1497.0,手自排,1.0,ISAVE
391,LEXUS,NX200,2018.0,61000.0,485000.0,棕,1987.0,手自排,1.0,ISAVE
392,BENZ,CLA200,2018.0,26000.0,848000.0,藍,1595.0,手自排,1.0,ISAVE
393,MAZDA,CX-9,2018.0,59000.0,890000.0,灰,2488.0,手自排,1.0,ISAVE
394,TOYOTA,CAMRY,2018.0,98000.0,478000.0,白,1998.0,手自排,1.0,ISAVE
0,MITSUBISHI,COLT PLUS,2018.0,47983.0,398000.0,白,1499.0,手自排,1.0,ISAVE
1,TOYOTA,SIENTA,2018.0,70000.0,570000.0,灰,1798.0,自排,1.0,ISAVE
2,MITSUBISHI,OUTLANDER,2018.0,4698.0,788000.0,棕,2359.0,自排,1.0,ISAVE
3,TOYOTA,VIOS,2018.0,20000.0,368000.0,灰,1496.0,手自排,1.0,ISAVE
4,BENZ,C250,2018.0,43000.0,1538000.0,黑,1998.0,手自排,1.0,ISAVE
6,MAZDA,CX-9,2018.0,41397.0,1218000.0,灰,2488.0,手自排,1.0,ISAVE
7,BMW,318,2018.0,28337.0,1108000.0,白,1499.0,手自排,1.0,ISAVE
9,MITSUBISHI,OUTLANDER,2018.0,22536.0,618000.0,白,2359.0,自排,1.0,ISAVE
10,BMW,320GT,2018.0,9000.0,1628000.0,黑,1998.0,自排,1.0,ISAVE
11,MAZDA,CX-5,2018.0,57566.0,868000.0,白,1998.0,手自排,1.0,ISAVE
12,MITSUBISHI,OUTLANDER,2018.0,6640.0,828000.0,白,2359.0,自排,1.0,ISAVE
13,SUZUKI,VITARA,2018.0,16618.0,668000.0,灰,1373.0,自排,1.0,ISAVE
14,SKODA,FABIA,2018.0,25000.0,525000.0,其它顏,999.0,手自排,1.0,ISAVE
15,TOYOTA,PRIUS C,2018.0,20454.0,638000.0,白,1497.0,自排,1.0,ISAVE
16,MITSUBISHI,VERYCA,2018.0,34663.0,378000.0,,1299.0,手排,1.0,ISAVE
18,BMW,X3,2018.0,18600.0,1730000.0,白,1998.0,手自排,1.0,ISAVE
19,TOYOTA,PRIUS C,2018.0,16107.0,638000.0,灰,1497.0,自排,1.0,ISAVE
22,VOLKSWAGEN,T6,2018.0,88456.0,1130000.0,,1968.0,手自排,1.0,ISAVE
23,HONDA,CITY,2018.0,31274.0,538000.0,白,1497.0,手自排,1.0,ISAVE
25,MITSUBISHI,LANCER,2018.0,65000.0,468000.0,灰,1798.0,手自排,1.0,ISAVE
84,VOLKSWAGEN,TIGUAN,2018.0,31865.0,368000.0,銀,1395.0,手自排,1.0,ISAVE
95,TOYOTA,CAMRY,2018.0,60000.0,1920000.0,白,2000.0,自排,0.0,ISAVE
96,SUZUKI,SWIFT,2018.0,70780.0,1650000.0,白,998.0,自排,0.0,ISAVE
97,BENZ,GLC300,2018.0,33109.0,580000.0,白,1991.0,手自排,0.0,ISAVE
98,AUDI,A7,2018.0,30000.0,795000.0,黑,2000.0,自排,0.0,ISAVE
100,MAZDA,CX-5,2018.0,50000.0,899000.0,紫,2000.0,自排,0.0,ISAVE
101,VOLVO,V40,2018.0,26790.0,2680000.0,藍,1498.0,手自排,0.0,ISAVE
102,BMW,218,2018.0,51948.0,523000.0,白,1499.0,自排,0.0,ISAVE
103,BENZ,GLE350D,2018.0,33712.0,650000.0,黑,2987.0,手自排,0.0,ISAVE
104,FORD,FOCUS,2018.0,96000.0,656000.0,銀,1499.0,手自排,0.0,ISAVE
105,FORD,FOCUS,2018.0,6.0,950000.0,藍,1449.0,手自排,0.0,ISAVE
106,MAZDA,MAZDA 3,2018.0,4600.0,1680000.0,藍,1998.0,手自排,0.0,ISAVE
107,TOYOTA,PREVIA,2018.0,100000.0,428000.0,白,2400.0,自排,0.0,ISAVE
108,BENZ,GLC300,2018.0,34000.0,378000.0,白,2000.0,自排,0.0,ISAVE
110,TOYOTA,ALTIS,2018.0,78218.0,708000.0,銀,1798.0,手自排,0.0,ISAVE
111,NISSAN,LIVINA,2018.0,43950.0,418000.0,灰,1598.0,自排,0.0,ISAVE
112,TOYOTA,YARIS,2018.0,55244.0,399000.0,灰,1496.0,手自排,0.0,ISAVE
113,TOYOTA,RAV4,2018.0,60000.0,518000.0,白,2000.0,自排,0.0,ISAVE
114,TOYOTA,SIENTA,2018.0,75588.0,1478000.0,黑,1798.0,自排,0.0,ISAVE
115,TOYOTA,SIENTA,2018.0,91088.0,395000.0,銀,1798.0,自排,0.0,ISAVE
116,TOYOTA,SIENTA,2018.0,72455.0,348000.0,銀,1798.0,自排,0.0,ISAVE
117,BMW,X4,2018.0,82059.0,2980000.0,黑,1997.0,手自排,0.0,ISAVE
118,MITSUBISHI,ZINGER,2018.0,80000.0,368000.0,藍,2400.0,自排,0.0,ISAVE
119,NISSAN,LIVINA,2018.0,40000.0,1280000.0,灰,1600.0,自排,0.0,ISAVE
120,PORSCHE,MACAN S,2018.0,38000.0,998000.0,白,3000.0,手自排,0.0,ISAVE
121,MITSUBISHI,COLT PLUS,2018.0,31380.0,478000.0,白,1499.0,手自排,0.0,ISAVE
124,LUXGEN,U5,2018.0,3126.0,758000.0,白,1556.0,自排,0.0,ISAVE
127,TOYOTA,RAV4,2018.0,75683.0,788000.0,白,1987.0,手自排,0.0,ISAVE
128,TOYOTA,SIENTA,2018.0,87808.0,1190000.0,黑,1798.0,自排,0.0,ISAVE
129,TOYOTA,ALTIS,2018.0,50661.0,1880000.0,白,1798.0,手自排,0.0,ISAVE
130,TOYOTA,CAMRY HYBRID,2018.0,50000.0,288000.0,黑,2500.0,自排,0.0,ISAVE
131,VOLKSWAGEN,GOLF GTI,2018.0,35000.0,588000.0,白,2000.0,自排,0.0,ISAVE
132,LEXUS,RX300,2018.0,66000.0,498000.0,白,2000.0,自排,0.0,ISAVE
133,MITSUBISHI,ZINGER,2018.0,115938.0,1380000.0,黃,2378.0,自排,0.0,ISAVE
134,TOYOTA,CAMRY,2018.0,30968.0,430000.0,灰,1998.0,手自排,0.0,ISAVE
135,HYUNDAI,ELANTRA,2018.0,58000.0,490000.0,白,1591.0,自排,0.0,ISAVE
136,MINI,COUNTRYMAN,2018.0,27000.0,538000.0,黑,2000.0,手自排,0.0,ISAVE
137,NISSAN,LIVINA,2018.0,6085.0,638000.0,銀,1598.0,手自排,0.0,ISAVE
138,NISSAN,SENTRA,2018.0,12741.0,538000.0,白,1798.0,手自排,0.0,ISAVE
139,SKODA,FABIA,2018.0,59703.0,420000.0,綠,999.0,自排,0.0,ISAVE
140,TOYOTA,CAMRY,2018.0,38000.0,2698000.0,黑,2000.0,手自排,0.0,ISAVE
141,SUZUKI,SWIFT,2018.0,19800.0,2798000.0,白,1000.0,自排,0.0,ISAVE
142,NISSAN,TEANA,2018.0,30000.0,1698000.0,黑,2000.0,自排,0.0,ISAVE
143,PORSCHE,CAYENNE,2018.0,26000.0,488000.0,白,3000.0,手自排,0.0,ISAVE
144,PORSCHE,CAYENNE,2018.0,28000.0,1988000.0,黑,3000.0,手自排,0.0,ISAVE
145,LEXUS,NX300,2018.0,54205.0,385000.0,白,1998.0,手自排,0.0,ISAVE
146,FORD,FIESTA,2018.0,60000.0,1198000.0,白,998.0,手自排,0.0,ISAVE
147,BENZ,GLC250,2018.0,16228.0,1368000.0,白,2000.0,手自排,0.0,ISAVE
148,TOYOTA,VIOS,2018.0,70000.0,2788000.0,銀,1498.0,自排,0.0,ISAVE
149,BMW,318I,2018.0,27150.0,485000.0,黑,1500.0,手自排,0.0,ISAVE
150,BMW,X2,2018.0,26234.0,358000.0,金,2000.0,手自排,0.0,ISAVE
151,LAND ROVER,RANGEROVER,2018.0,5913.0,299000.0,白,2000.0,手自排,0.0,ISAVE
152,NISSAN,SENTRA,2018.0,27000.0,758000.0,白,1798.0,自排,0.0,ISAVE
153,MITSUBISHI,ZINGER,2018.0,75868.0,475000.0,白,2378.0,自排,0.0,ISAVE
154,MITSUBISHI,COLT PLUS,2018.0,96318.0,1290000.0,灰,1499.0,自排,0.0,ISAVE
155,TOYOTA,CAMRY HYBRID,2018.0,70000.0,828000.0,黑,2500.0,自排,0.0,ISAVE
156,MITSUBISHI,ZINGER,2018.0,20000.0,838000.0,灰,2400.0,自排,0.0,ISAVE
157,BMW,X2,2018.0,90000.0,388000.0,黑,2000.0,自排,0.0,ISAVE
158,HONDA,CR-V,2018.0,40000.0,388000.0,銀,1500.0,自排,0.0,ISAVE
159,VOLKSWAGEN,CADDY,2018.0,5137.0,490000.0,銀,1395.0,自排,0.0,ISAVE
162,NISSAN,LIVINA,2018.0,32123.0,1650000.0,銀,1598.0,手排,0.0,ISAVE
163,MITSUBISHI,DELICA,2018.0,72100.0,1650000.0,白,2351.0,手排,0.0,ISAVE
165,AUDI,Q5,2018.0,18000.0,708000.0,白,2000.0,自排,0.0,ISAVE
166,TOYOTA,ALTIS,2018.0,80000.0,418000.0,,1798.0,自排,0.0,ISAVE
168,TOYOTA,SIENNA,2018.0,31000.0,408000.0,白,3456.0,手自排,0.0,ISAVE
169,TOYOTA,SIENNA,2018.0,33000.0,538000.0,白,3456.0,手自排,0.0,ISAVE
170,TOYOTA,C-HR,2018.0,35102.0,840000.0,銀,1197.0,手自排,0.0,ISAVE
171,MAZDA,MAZDA 3,2018.0,16000.0,650000.0,紅,2000.0,自排,0.0,ISAVE
172,MITSUBISHI,ZINGER,2018.0,60000.0,698000.0,灰,2400.0,自排,0.0,ISAVE
173,MITSUBISHI,OUTLANDER,2018.0,50000.0,619000.0,灰,2400.0,自排,0.0,ISAVE
174,MITSUBISHI,VERYCA,2018.0,20055.0,580000.0,銀,1299.0,手排,0.0,ISAVE
175,TOYOTA,SIENTA,2018.0,60000.0,458000.0,銀,1800.0,自排,0.0,ISAVE
176,TOYOTA,RAV4,2018.0,30000.0,388000.0,黑,2500.0,自排,0.0,ISAVE
177,NISSAN,X-TRAIL,2018.0,70000.0,438000.0,黑,2500.0,自排,0.0,ISAVE
178,TOYOTA,C-HR,2018.0,75447.0,630000.0,銀,1197.0,手自排,0.0,ISAVE
