,id,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_door,car_seat,car_cylinderVolume,car_driveMode,car_fuel,car_gear,verified,car_address,car_title,car_photo,dealer_name,seller_role,dealer_address,sunroof,TPMS,SRS,keyless,theft_alarm,central_lock,ESP,TCS,ABS,cruise_sys,HID_head,LED_head,isofix,electric_seat,auto_AC,navi_sys,IVI_sys,SW_button,leather_seat,parking_radar,parking_camera,BSM,ACC,LDW
35,1150304.0,TOYOTA,ALTIS,2020,14.0,728000.0,白,,,1798,,,自排,1,新北市,[全新領牌車 新車價82.5萬 現折9萬多],https://www.isave.com.tw/public/photo/1150304/800_20200814193606641.JPG,大信汽車,,新北市泰山區新北大道五段618號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
36,1324778.0,MAZDA,CX-30,2020,,899000.0,,,,1998,,,手排,1,台中市,[20年CX 30 頂級，只跑一萬餘],https://www.isave.com.tw/public/photo/1324778/800_20210704181135445.jpg,川弘中古車,,台中市西屯區中清路三段170號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
37,1317934.0,FORD,KUGA,2020,,688000.0,灰,,,1500,,,手自排,1,高雄市,[一手車 原鈑件 原廠保養 原廠保固中],https://www.isave.com.tw/public/photo/1317934/800_20210621181742803.jpg,合益汽車,,高雄市鳥松區鳥松里中正路46之55號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
38,1314422.0,KIA,PICANTO,2020,,508000.0,,,,1248,,,手自排,1,桃園市,[],https://www.isave.com.tw/public/photo/1314422/800_20210615093739297.jpg,車冠汽車,,桃園市桃園區經國路247號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
39,1309513.0,LEXUS,ES200,2020,,1288000.0,黑,,,1998,,,手自排,1,桃園市,[2020年ES200 豪華版],https://www.isave.com.tw/public/photo/1309513/800_20210604135402989.jpg,樂成車業,,桃園市桃園區大興西路三段782-2號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
40,1318138.0,TOYOTA,ALPHARD,2020,,2638000.0,黑,,,3456,,,手自排,1,新北市,[20 Alphard 3.5汽油 原鈑件],https://www.isave.com.tw/public/photo/1318138/800_20210622113711642.jpg,新東汽車,,241新北市.蘆洲區集賢路188號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
41,1302230.0,BENZ,GLA250,2020,,1950000.0,白,,,1991,,,手自排,1,新北市,[大改款GLA250 跨界王者 新車全球保],https://www.isave.com.tw/public/photo/1302230/800_20210521140833188.jpg,豐駿汽車,,新北市三峽區介壽路一段362號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
42,1304661.0,FORD,KUGA,2020,,780000.0,,,,1500,,,手自排,1,台北市,[],https://www.isave.com.tw/public/photo/1304661/800_20210526133840111.JPG,駿馭汽車,,台北市北投區承德路7段381號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
43,1293863.0,VOLKSWAGEN,GOLF VARIANT,2020,,1090000.0,白,,,1395,,,手自排,1,新北市,[280 TSI R-Line ],https://www.isave.com.tw/public/photo/1293863/800_20210508095958887.JPG,博可達汽車商行,,新北市新莊區頭成街28號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
44,1286620.0,FORD,KUGA,2020,,857000.0,,,,1997,,,手自排,1,台中市,[榮獲2020年 下半年SAVE認證優良店],https://www.isave.com.tw/public/photo/1286620/800_20210427170224493.jpg,辛巴克有限公司,,台中市烏日區新興路193號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
45,1283413.0,BMW,X3,2020,,2080000.0,,,,1998,,,手自排,1,台北市,[],https://www.isave.com.tw/public/photo/1283413/800_20210422102725519.jpg,吉林汽車,,台北市中山區吉林路476號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
46,1298365.0,LUXGEN,M7,2020,,718000.0,銀,,,2198,,,手自排,1,新北市,[20 M7 智能影音八人座 原鈑件],https://www.isave.com.tw/public/photo/1298365/800_20210514235924618.jpg,鑫苰精選二手車,,新北市三重區集賢路177號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
47,1283824.0,TOYOTA,RAV4,2020,,968000.0,,,,1987,,,手自排,1,桃園市,[2020 Toyata RAV4],https://www.isave.com.tw/public/photo/1283824/800_20210422164320497.jpg,萬騰汽車,,桃園市中壢區環中東路525號,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
48,1282997.0,TOYOTA,ALTIS,2020,,728000.0,,,,1798,,,自排,1,台中市,[],https://www.isave.com.tw/public/photo/1282997/800_20210421114859657.jpg,超擎汽車,,台中市大里區文心南路1245-1號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
49,1281124.0,FORD,KUGA,2020,,698000.0,,,,1498,,,手自排,1,桃園市,[],https://www.isave.com.tw/public/photo/1281124/800_20210418115157278.JPG,諾言車業,,桃園市八德區和強路137號,,,1.0,,,,,,1.0,,,,,0.0,1.0,,,,,,,,,
50,1279069.0,NISSAN,LIVINA,2020,,468000.0,白,,,1598,,,自排,1,新北市,[2020 LIVINA 大空間 保固中],https://www.isave.com.tw/public/photo/1279069/800_20210414164919843.jpg,鑫泰汽車,,236 新北市土城區中華路二段62-1號,,,1.0,,,,,,1.0,,,,,0.0,0.0,,,,,,,,,
51,1277168.0,BMW,M135I,2020,,1998000.0,黑,,,1998,,,手自排,1,新北市,[20 M135i 總代 原鈑件 僅跑9千],https://www.isave.com.tw/public/photo/1277168/800_20210410122120787.jpg,新東汽車,,241新北市.蘆洲區集賢路188號,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,
