,auto_brand_en,item_kind_name_en,car_year,car_mileage,car_price,source
10322,Hyundai,Ix35,2012,117000,238000,8891
10323,Toyota,Corolla Altis,2011,110000,200000,8891
10324,Ford,Focus,2014,70000,318000,8891
10325,Hyundai,I10,2012,80000,208000,8891
10327,Mitsubishi,Outlander,2016,70000,488000,8891
10328,Mitsubishi,Lancer Fortis,2016,40000,398000,8891
10329,Toyota,Camry,2008,170000,228000,8891
10330,Mercedes-Benz,CLA,2015,100000,1230000,8891
10331,Ford,Focus,2010,190000,178000,8891
10332,Mercedes-Benz,C-Class Sedan,2012,83000,598000,8891
10333,Mazda,3,2015,58000,359000,8891
10334,Hyundai,Elantra,2014,40000,288000,8891
10335,Audi,A4 Sedan,2014,89000,588000,8891
10336,Toyota,Sienta,2017,50000,428000,8891
10337,Ford,Kuga,2016,50000,500000,8891
10338,Porsche,Cayenne,2008,166000,398000,8891
10339,Mercedes-Benz,C-Class Coupe,2016,20000,1638000,8891
10340,Lexus,RX,2019,41000,1908000,8891
10341,Kia,Carens CRDI,2015,150000,458000,8891
10342,Honda,Civic K12,2010,129000,288000,8891
10343,Mazda,CX-5,2015,60000,538000,8891
10344,BMW,5-Series Sedan,2011,120000,538000,8891
10345,Audi,A1,2013,50000,358000,8891
10346,Subaru,Legacy Sedan,2017,121000,618000,8891
10347,BMW,4-Series Coupe,2016,72000,1098000,8891
10348,Mercedes-Benz,GLA,2017,40000,0,8891
10349,Toyota,Tercel,1999,130000,78000,8891
10350,Mazda,CX-5,2018,30000,770000,8891
10351,Mercedes-Benz,C-Class Sedan,2016,110000,1318000,8891
10352,Volkswagen,Caddy,2013,74000,488000,8891
10353,Toyota,Yaris,2009,190000,168000,8891
10354,Toyota,Wish,2007,140000,258000,8891
10355,Mazda,3,2011,100000,278000,8891
10356,Toyota,Wish,2015,120000,428000,8891
10357,BMW,X6,2011,100000,1098000,8891
10358,Nissan,Rogue,2011,160000,188000,8891
10359,Nissan,Teana,2011,100000,168000,8891
10360,Infiniti,FX35,2007,250000,188000,8891
10361,Land Rover,Discovery 5,2018,30000,2580000,8891
10362,BMW,2-Series Gran Coupe,2020,2005,1570000,8891
10363,Volkswagen,Beetle,2004,188000,149000,8891
10364,Subaru,Levorg,2019,9000,950000,8891
10365,BMW,7-Series,2018,90000,0,8891
10366,Land Rover,Range Rover Evoque,2015,130000,1168000,8891
10367,Nissan,Tiida,2018,62000,438000,8891
10368,Toyota,Innova,2015,62000,368000,8891
10369,BMW,3-Series Sedan,2008,150000,308000,8891
10370,BMW,X5,2014,81000,1350000,8891
10371,BMW,5-Series Touring,2016,58000,1378000,8891
10372,Honda,HR-V,2017,90000,578000,8891
10373,BMW,3-Series Sedan,2013,99000,858000,8891
10374,Toyota,Wish,2012,90000,378000,8891
10375,Mitsubishi,Zinger,2015,159000,308000,8891
10376,Nissan,X-Trail,2016,139000,478000,8891
10377,Suzuki,Solio,2005,200000,88000,8891
10378,Mazda,2,2009,110000,198000,8891
10379,Hyundai,Matrix,2005,108000,128000,8891
10380,Toyota,Vios,2014,40000,288000,8891
10381,Mercedes-Benz,C-Class Coupe,2020,10000,1888000,8891
10382,Luxgen,U6 GT,2019,38000,648000,8891
10383,Mitsubishi,Lancer,2015,130000,368000,8891
10384,Volvo,S60,2014,100000,438000,8891
10385,Ford,Escape,2007,130000,98000,8891
10386,Toyota,Corolla Altis,2017,42000,368000,8891
10387,Nissan,Tiida,2011,90000,258000,8891
10388,Porsche,Cayenne,2012,110000,1088000,8891
10389,Hyundai,Ix35,2013,94000,468000,8891
10390,Mercedes-Benz,E-Class Sedan,2016,70000,1558000,8891
10391,Ford,Fiesta,2017,81000,408000,8891
10392,Mercedes-Benz,S-Class Sedan,2005,190000,258000,8891
10393,Mercedes-Benz,E-Class Sedan,2009,210000,428000,8891
10394,Mercedes-Benz,C-Class Sedan,2013,170000,680000,8891
10395,Toyota,Sienna,2013,130000,880000,8891
10396,Lexus,CT,2014,90000,680000,8891
10397,Honda,Odyssey,2016,41000,1168000,8891
10398,Nissan,Teana,2005,140000,128000,8891
10399,Mazda,5,2009,140000,258000,8891
10400,Honda,CR-V,2013,60000,538000,8891
10401,Audi,S3 Sportback,2010,120000,550000,8891
10402,Volkswagen,Golf Variant,2011,99000,338000,8891
10403,Mitsubishi,Pajero三門款,2014,130000,818000,8891
10404,Mitsubishi,Zinger,2019,13000,499000,8891
10405,Lexus,IS,2018,80000,1168000,8891
10406,Nissan,Sentra,2018,63000,488000,8891
10407,Nissan,Livina,2014,170000,200000,8891
10408,Suzuki,SX4,2007,160000,178000,8891
10409,Mercedes-Benz,E-Class Estate,2017,50000,2980000,8891
10410,Honda,CR-V,2018,56000,888000,8891
10411,Toyota,Prius,2005,120000,188000,8891
10412,BMW,5-Series Sedan,2017,80000,1588000,8891
10413,Skoda,Octavia Combi,2017,50000,0,8891
10414,Ford,Econovan,2010,133000,0,8891
10415,Kia,Kaon,2013,171000,0,8891
10416,Mazda,5,2009,190000,238000,8891
10417,Honda,CR-V,2013,125000,488000,8891
10418,Maserati,Ghibli,2016,60000,1850000,8891
10419,Toyota,Yaris,2014,70000,258000,8891
10420,Toyota,Corolla Altis,2017,60000,498000,8891
10421,Audi,Q7,2010,100000,638000,8891
10422,Luxgen,U7 Turbo,2014,110000,318000,8891
10423,BMW,5-Series Sedan,2008,250000,328000,8891
10424,Porsche,Cayenne,2018,70000,2450000,8891
10425,Audi,A8L,2011,100000,688000,8891
10426,Porsche,Boxster S,2009,90000,1188000,8891
10427,Kia,Picanto,2018,20000,438000,8891
10428,Honda,Civic,2014,80000,438000,8891
10429,Mercedes-Benz,GLE Coupe,2017,39000,2780000,8891
10430,CMC,Veryca廂車,2004,190000,158000,8891
10431,CMC,Veryca貨車,2015,140000,278000,8891
10432,Ford,Focus,2006,200000,138000,8891
10433,BMW,3-Series Sedan,2017,32000,1650000,8891
10434,Ford,Kuga,2016,71000,550000,8891
10435,Mercedes-Benz,GLC Coupe,2019,12000,2550000,8891
10436,BMW,X3,2018,37000,2550000,8891
10437,Mercedes-Benz,S-Class Sedan,2014,140000,1490000,8891
10438,Toyota,RAV4,2012,112000,358000,8891
10439,Mercedes-Benz,GLC,2018,43000,1780000,8891
10440,Mercedes-Benz,E-Class Sedan,2017,6642,2380000,8891
10441,Mercedes-Benz,GLC Coupe,2019,40000,2990000,8891
10442,Mazda,3,2006,90000,138000,8891
10443,Suzuki,Jimny,2005,78000,238000,8891
10444,Hyundai,I30,2011,107000,130000,8891
