,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_fuel,car_gear,car_driveMode,source
338,HONDA,CRV,2019,60175,928000,白,1500,汽 油,手 自 排,2,U-car
342,MERCEDES-BENZ,E-CLASS,2017,38259,1698000,黑,3000,汽 油,手 自 排,2,U-car
343,SAAB,9-3,2005,172400,208000,其他,2000,汽 油,手 自 排,2,U-car
346,HONDA,CIVIC,2006,0,238000,鐵灰,1800,汽 油,自 排,2,U-car
347,TOYOTA,SIENNA,2021,169,1900000,鐵灰,2700,油電,自 手 排,2,U-car
349,TOYOTA,RAV-4,2013,236700,388000,鐵灰,2000,汽 油,手 自 排,2,U-car
350,JAGUAR,F-TYPE,2015,15500,2080000,白,3000,汽 油,自 手 排,4,U-car
351,INFINITI,G SEDAN,2012,90000,498000,白,2500,汽 油,手 自 排,2,U-car
352,TOYOTA,ALTIS,2018,64457,488000,白,1800,汽 油,手 自 排,2,U-car
353,MITSUBISHI,GRAND LANCER,2017,80116,368000,白,1800,汽 油,手 自 排,2,U-car
355,TOYOTA,RAV-4,2011,200000,368000,黑,2400,汽 油,自 排,2,U-car
356,HYUNDAI,ELANTRA,2017,69350,480000,白,2000,汽 油,自 排,2,U-car
358,LEXUS,ES SERIES,2017,41364,988000,黑,2000,汽 油,自 手 排,2,U-car
360,BMW,5 SERIES,1995,263000,199000,白,2500,汽 油,自 排,2,U-car
362,NISSAN,MARCH,2005,137266,138000,銀,1300,汽 油,自 排,2,U-car
365,TOYOTA,ALPHARD,2018,50000,2388000,黑,3500,汽 油,自 排,2,U-car
366,MERCEDES-BENZ,GLC-CLASS,2018,0,1880000,黑,2000,汽 油,自 手 排,2,U-car
367,NISSAN,LIVINA,2018,42730,385000,其他,1600,汽 油,自 排,2,U-car
368,LEXUS,RX SERIES,2016,78061,1680000,棕,2000,汽 油,自 排,2,U-car
371,BMW,2 SERIES,2015,19804,988000,白,2000,汽 油,手 自 排,2,U-car
372,HYUNDAI,ELANTRA,2017,89140,388000,白,1600,汽 油,手 自 排,2,U-car
374,MITSUBISHI,CHALLENGER,2003,0,198000,黑,3000,汽 油,自 手 排,2,U-car
376,BMW,3 SERIES,2012,50000,890000,黑,3000,汽 油,手 自 排,2,U-car
377,MERCEDES-BENZ,A-CLASS,2020,33000,1450000,黑,2000,汽 油,自 手 排,2,U-car
378,FORD,FIESTA,2018,15754,478000,白,1000,汽 油,自 手 排,2,U-car
379,TOYOTA,YARIS,2010,60000,298000,鐵灰,1500,汽 油,手 自 排,2,U-car
380,TOYOTA,ALTIS,2013,0,368000,白,1800,汽 油,自 排,2,U-car
381,MERCEDES-BENZ,C-CLASS,2008,178661,428000,白,3000,汽 油,手 自 排,2,U-car
