,car_brand,car_model,car_year,car_mileage,car_price,car_color,car_cylinderVolume,car_fuel,car_gear,car_driveMode,source
776,LEXUS,RX SERIES,2018,50000,1798000,白,2000,汽 油,手 自 排,2,U-car
778,MERCEDES-BENZ,C-CLASS,2017,48515,1498000,白,2000,汽 油,手 自 排,2,U-car
780,HYUNDAI,VERNA,2017,15598,298000,紅,1600,汽 油,手 自 排,2,U-car
781,MINI,COOPER S COUNTRYMAN,2019,12379,1480000,紅,2000,汽 油,手 自 排,2,U-car
783,HONDA,CRV,2000,200000,88000,銀,2000,汽 油,自 排,2,U-car
784,MERCEDES-BENZ,S-CLASS,2016,77450,2280000,銀,3000,汽 油,手 自 排,2,U-car
785,BMW,X5 SERIES,2011,65000,880000,黑,3000,汽 油,手 自 排,2,U-car
788,BMW,M3,2015,77000,2188000,白,3000,汽 油,手 自 排,2,U-car
789,LEXUS,NX SERIES,2015,110000,1128000,黑,2000,汽 油,手 自 排,2,U-car
790,PORSCHE,MACAN,2019,19000,2790000,其他,2000,汽 油,自 手 排,2,U-car
791,HYUNDAI,GETZ,2008,100000,108000,藍,1300,汽 油,自 排,2,U-car
792,BMW,X3 SERIES,2016,58294,1330000,白,2000,汽 油,手 自 排,2,U-car
793,TOYOTA,RAV-4,2015,92838,598000,白,2500,汽 油,手 自 排,2,U-car
794,KIA,EURO STAR,2004,100000,78000,藍,1100,汽 油,自 排,2,U-car
795,MITSUBISHI,ZINGER,2010,100000,178000,銀,2400,汽 油,自 排,2,U-car
796,BMW,6 SERIES GRAN COUPE,2016,38000,1860000,白,3000,汽 油,手 自 排,2,U-car
798,LEXUS,RX SERIES,2017,50000,1698000,其他,2000,汽 油,手 自 排,2,U-car
801,MERCEDES-BENZ,GLC-CLASS,2018,44929,1758000,黑,2000,汽 油,手 自 排,2,U-car
802,HONDA,CITY,2001,310000,38000,銀,1500,汽 油,自 排,2,U-car
804,MERCEDES-BENZ,E-CLASS,2016,54312,1670000,黑,2000,汽 油,手 自 排,2,U-car
805,MERCEDES-BENZ,CLA-CLASS,2016,34399,1898000,黑,2000,汽 油,自 手 排,2,U-car
807,MERCEDES-BENZ,GLC-CLASS,2017,40000,1958000,白,2000,汽 油,手 自 排,2,U-car
809,TOYOTA,ALTIS,2006,82232,148000,白,1800,汽 油,手 自 排,2,U-car
810,TOYOTA,ALTIS,2001,270000,88000,銀,1800,汽 油,自 排,2,U-car
811,TOYOTA,CAMRY,2007,180000,198000,黑,2000,汽 油,手 自 排,2,U-car
816,MERCEDES-BENZ,C-CLASS,2016,59685,1398000,白,2000,汽 油,手 自 排,2,U-car
817,KIA,SOUL,2017,18592,598000,其他,1600,柴 油,自 手 排,2,U-car
818,FORD,FOCUS,2017,127534,418000,鐵灰,1600,汽 油,自 排,2,U-car
821,MASERATI,LEVANTE,2017,37258,3180000,白,3000,汽 油,手 自 排,2,U-car
823,TOYOTA,ALTIS,2001,180000,98000,銀,1800,汽 油,自 排,2,U-car
824,TOYOTA,ALTIS,2005,100000,138000,銀,1800,汽 油,手 自 排,2,U-car
825,LEXUS,RX SERIES,2020,11972,2088000,黑,2000,汽 油,手 自 排,2,U-car
826,BMW,X5 SERIES,2005,280000,198000,黑,3000,汽 油,手 自 排,2,U-car
828,MERCEDES-BENZ,C-CLASS,2015,94992,1198000,白,2000,汽 油,自 手 排,2,U-car
829,MAZDA,3,2008,100000,238000,白,2000,汽 油,手 自 排,2,U-car
830,BMW,6 SERIES GRAN COUPE,2015,60000,1498000,黑,3000,汽 油,手 自 排,2,U-car
831,MITSUBISHI,OUTLANDER,2010,80000,278000,其他,2400,汽 油,手 自 排,2,U-car
832,FORD,FOCUS,2005,100000,148000,黃,2000,汽 油,手 自 排,2,U-car
833,HYUNDAI,IX35,2011,80000,398000,白,2000,汽 油,手 自 排,2,U-car
834,LUXGEN,7 SUV,2012,60000,298000,其他,2200,汽 油,手 自 排,2,U-car
835,TOYOTA,WISH,2005,110000,158000,銀,2000,汽 油,手 自 排,2,U-car
836,MAZDA,3S,2006,100000,138000,黑,2000,汽 油,手 自 排,2,U-car
837,LUXGEN,7 SUV,2011,50000,278000,黑,2200,汽 油,手 自 排,2,U-car
838,NISSAN,X-TRAIL,2003,100000,98000,黑,2000,汽 油,自 排,2,U-car
839,TOYOTA,YARIS,2008,120000,238000,其他,1500,汽 油,手 自 排,2,U-car
840,FORD,ESCAPE,2005,100000,138000,黑,2300,汽 油,自 排,2,U-car
841,NISSAN,TEANA,2007,100000,158000,黑,2000,汽 油,手 自 排,2,U-car
842,MAZDA,TRIBUTE,2004,100000,148000,黑,2300,汽 油,自 排,2,U-car
843,TOYOTA,VIOS,2008,100000,228000,銀,1500,汽 油,自 排,2,U-car
844,HYUNDAI,MATRIX,2004,100000,118000,其他,1800,汽 油,自 排,2,U-car
845,HONDA,FIT,2013,50000,388000,其他,1500,汽 油,手 自 排,2,U-car
846,TOYOTA,CAMRY,2005,100000,178000,黑,2000,汽 油,自 排,2,U-car
847,NISSAN,LIVINA,2013,50000,288000,白,1600,汽 油,自 排,2,U-car
848,FORD,FOCUS,2007,100000,178000,鐵灰,2000,汽 油,手 自 排,2,U-car
849,TOYOTA,ALTIS,2009,100000,218000,鐵灰,1800,汽 油,手 自 排,2,U-car
851,MAZDA,3,2006,10,138000,紅,2000,汽 油,手 自 排,2,U-car
852,MITSUBISHI,VIRAGE,2003,90000,98000,黑,1800,汽 油,手 自 排,2,U-car
854,TOYOTA,WISH,2005,100000,168000,鐵灰,2000,汽 油,手 自 排,2,U-car
855,TOYOTA,CAMRY,2002,100000,128000,銀,2000,汽 油,自 排,2,U-car
856,BMW,X4 SERIES,2015,67966,1430000,黑,2000,汽 油,手 自 排,2,U-car
857,MERCEDES-BENZ,E-CLASS,2016,0,1250000,銀,2000,柴 油,手 自 排,2,U-car
858,MAZDA,5,2010,130000,298000,銀,2000,汽 油,手 自 排,2,U-car
859,NISSAN,TIIDA,2007,90000,148000,銀,1800,汽 油,自 排,2,U-car
860,HYUNDAI,TUCSON,2007,100000,228000,鐵灰,2000,柴 油,手 自 排,2,U-car
861,TOYOTA,CAMRY,2002,100000,138000,銀,2000,汽 油,手 自 排,2,U-car
862,FORD,KUGA,2016,112943,568000,白,1500,汽 油,手 自 排,2,U-car
863,MAZDA,3,2004,80000,98000,黑,2000,汽 油,手 自 排,2,U-car
864,MASERATI,GRANTURISMO,2008,90980,1268000,黑,4700,汽 油,自 手 排,2,U-car
865,NISSAN,TIIDA,2014,70000,368000,黑,1600,汽 油,手 自 排,2,U-car
866,TOYOTA,WISH,2006,100000,168000,其他,2000,汽 油,手 自 排,2,U-car
867,NISSAN,TEANA,2006,120000,128000,其他,2300,汽 油,手 自 排,2,U-car
868,HONDA,FIT,2009,80000,288000,鐵灰,1500,汽 油,手 自 排,2,U-car
869,AUDI,A1 SPORTBACK,2012,88526,478000,白,1400,汽 油,手 自 排,2,U-car
870,MAZDA,5,2007,100000,218000,黑,2000,汽 油,手 自 排,2,U-car
871,MERCEDES-BENZ,GLC-CLASS,2019,30000,2530000,白,2000,汽 油,手 自 排,2,U-car
872,SUZUKI,SOLIO,2004,110000,118000,白,1300,汽 油,自 排,2,U-car
873,MAZDA,PREMACY,2002,100000,118000,白,1800,汽 油,自 排,2,U-car
874,MAZDA,TRIBUTE,2002,100000,88000,棕,3000,汽 油,自 排,2,U-car
875,TOYOTA,CAMRY,2005,100000,178000,黑,3000,汽 油,自 排,2,U-car
876,MITSUBISHI,LANCER,2006,100000,98000,銀,1600,汽 油,手 自 排,2,U-car
877,MITSUBISHI,SAVRIN,2006,100000,158000,黑,2000,汽 油,手 自 排,2,U-car
878,MAZDA,TRIBUTE,2007,100000,198000,其他,2300,汽 油,自 排,2,U-car
879,KIA,EURO STAR,2005,100000,118000,白,1100,汽 油,自 排,2,U-car
880,MERCEDES-BENZ,GLC-CLASS,2016,60000,1680000,黑,2000,汽 油,手 自 排,2,U-car
881,MERCEDES-BENZ,ML-CLASS,2015,16832,1460000,黑,3000,汽 油,手 自 排,2,U-car
882,FORD,ESCAPE,2011,0,258000,鐵灰,2300,汽 油,手 自 排,2,U-car
883,MERCEDES-BENZ,GLC-CLASS,2017,47000,2080000,白,2000,汽 油,自 手 排,2,U-car
884,HONDA,CRV,2003,100000,168000,黑,2000,汽 油,自 排,2,U-car
885,MITSUBISHI,SAVRIN,2007,100000,168000,黑,2000,汽 油,手 自 排,2,U-car
886,TOYOTA,CAMRY,2005,100000,168000,黑,3000,汽 油,自 排,2,U-car
887,MITSUBISHI,ZINGER,2007,100000,148000,藍,2400,汽 油,手 自 排,2,U-car
888,NISSAN,SERENA QRV,2006,100000,248000,銀,2500,汽 油,自 排,2,U-car
889,TOYOTA,VIOS,2008,60000,188000,銀,1500,汽 油,手 自 排,2,U-car
890,NISSAN,X-TRAIL,2003,100000,138000,棕,2000,汽 油,自 排,2,U-car
891,MITSUBISHI,COLT PLUS,2011,50000,258000,銀,1600,汽 油,自 排,2,U-car
892,TOYOTA,ALTIS,2004,90000,178000,銀,1800,汽 油,自 排,2,U-car
893,MERCEDES-BENZ,C-CLASS,2014,86279,1198000,白,2000,汽 油,手 自 排,2,U-car
894,PORSCHE,CAYENNE,2019,73535,2780000,白,3000,汽 油,手 自 排,2,U-car
895,NISSAN,LIVINA,2008,70000,168000,其他,1600,汽 油,自 排,2,U-car
897,HYUNDAI,SANTA FE,2008,100000,338000,其他,2200,柴 油,手 自 排,2,U-car
898,MAZDA,5,2006,90000,218000,黑,2000,汽 油,手 自 排,2,U-car
899,MITSUBISHI,GRUNDER,2005,100000,158000,黑,2300,汽 油,手 自 排,2,U-car
900,BMW,5 SERIES,2001,200000,199000,黑,2200,汽 油,手 自 排,2,U-car
901,MITSUBISHI,LANCER,2005,100000,118000,黑,1600,汽 油,手 自 排,2,U-car
902,SUZUKI,SOLIO,2008,100000,178000,白,1300,汽 油,自 排,2,U-car
903,TOYOTA,CAMRY,2014,113045,498000,黑,2500,汽 油,手 自 排,2,U-car
904,AUDI,Q7,2011,102076,768000,銀,3000,柴 油,手 自 排,2,U-car
905,NISSAN,X-TRAIL,2004,100000,148000,黑,2000,汽 油,自 排,2,U-car
906,TOYOTA,CAMRY,2003,100000,128000,棕,2000,汽 油,自 排,2,U-car
907,MERCEDES-BENZ,GLC-CLASS,2018,0,2080000,鐵灰,2000,汽 油,手 自 排,2,U-car
908,FORD,FOCUS,2007,100000,178000,其他,2000,汽 油,手 排,2,U-car
909,MAZDA,3,2007,100000,218000,其他,2000,汽 油,手 自 排,2,U-car
910,TOYOTA,RAV-4,2013,110000,490000,黑,2500,汽 油,手 自 排,2,U-car
912,NISSAN,TEANA,2007,100000,158000,黑,2300,汽 油,手 自 排,2,U-car
913,MERCEDES-BENZ,E-CLASS,2013,107884,990000,銀,2000,汽 油,自 排,2,U-car
915,HONDA,ACCORD,1999,140000,68000,銀,2000,汽 油,自 排,2,U-car
916,MAZDA,6,2011,190245,298000,黑,2000,汽 油,手 自 排,2,U-car
917,HONDA,CRV,2004,100000,128000,銀,2000,汽 油,自 排,2,U-car
918,MITSUBISHI,LANCER,2005,100000,118000,其他,1600,汽 油,手 自 排,2,U-car
919,VOLVO,XC90,2004,190000,250000,棕,2900,汽 油,手 自 排,2,U-car
920,HONDA,CRV,2009,100000,338000,白,2000,汽 油,手 自 排,2,U-car
921,TOYOTA,WISH,2012,100000,388000,鐵灰,2000,汽 油,手 自 排,2,U-car
923,MERCEDES-BENZ,E-CLASS,2007,100000,338000,黑,3500,汽 油,手 自 排,2,U-car
924,NISSAN,TEANA,2005,100000,118000,黑,2300,汽 油,手 自 排,2,U-car
925,HONDA,CRV,2013,60000,518000,其他,2400,汽 油,手 自 排,2,U-car
926,HONDA,FIT,2012,134897,350000,白,1500,汽 油,手 自 排,2,U-car
927,MERCEDES-BENZ,E-CLASS,2014,73854,1078000,其他,2000,汽 油,手 自 排,2,U-car
929,VOLKSWAGEN,POLO,2014,102173,288000,黑,1600,汽 油,手 自 排,2,U-car
930,MITSUBISHI,OUTLANDER,2011,0,338000,銀,2400,汽 油,自 排,2,U-car
931,HONDA,ACCORD,2007,190000,198000,鐵灰,3000,汽 油,手 自 排,2,U-car
932,FORD,FIESTA,2010,181971,188000,藍,1400,汽 油,手 自 排,2,U-car
933,MITSUBISHI,ZINGER,2018,35565,398000,藍,2400,汽 油,自 排,2,U-car
934,MITSUBISHI,OUTLANDER,2019,40000,788000,白,2400,汽 油,手 自 排,2,U-car
936,MERCEDES-BENZ,C-CLASS,2017,50000,1480000,黑,2000,汽 油,手 自 排,2,U-car
937,NISSAN,TIIDA,2016,55000,438000,白,1600,汽 油,自 排,2,U-car
938,PORSCHE,BOXSTER,1997,74000,599000,紅,2500,汽 油,手 自 排,2,U-car
939,BMW,5 SERIES,2011,110888,638000,其他,3000,汽 油,手 自 排,2,U-car
940,TOYOTA,PREVIA,2002,130000,288000,銀,2400,汽 油,自 排,2,U-car
941,BMW,1 SERIES,2012,49176,588000,白,1600,汽 油,手 自 排,2,U-car
943,TOYOTA,ALTIS,2013,151523,320000,白,1800,汽 油,手 自 排,2,U-car
945,TOYOTA,YARIS,2011,56770,268000,其他,1500,汽 油,自 排,2,U-car
946,MITSUBISHI,VERYCA,2009,179730,178000,白,1200,汽 油,手 排,2,U-car
947,MITSUBISHI,COLT PLUS,2013,105000,238000,白,1600,汽 油,自 排,2,U-car
948,PORSCHE,CAYENNE,2005,157000,299000,其他,4500,汽 油,手 自 排,2,U-car
949,MITSUBISHI,LANCER FORTIS,2010,170000,178000,白,2000,汽 油,手 自 排,2,U-car
950,HONDA,CRV,2014,38000,508000,白,2000,汽 油,自 排,2,U-car
951,BMW,2 SERIES,2017,65000,859000,其他,2000,柴 油,手 自 排,2,U-car
952,HONDA,CIVIC,2010,142547,358000,白,1800,汽 油,手 自 排,2,U-car
953,NISSAN,SENTRA,2002,200000,88000,其他,1800,汽 油,自 排,2,U-car
954,MITSUBISHI,COLT PLUS,2013,105000,238000,白,1600,汽 油,自 排,2,U-car
955,LEXUS,ES SERIES,2013,60000,758000,黑,2500,油電,手 自 排,2,U-car
956,LEXUS,CT HYBRID,2017,39791,888000,棕,1800,油電,自 排,2,U-car
957,PORSCHE,CAYMAN,2019,22000,2958000,白,2000,汽 油,自 手 排,2,U-car
958,MITSUBISHI,LANCER FORTIS,2011,86521,298000,白,2000,汽 油,手 自 排,2,U-car
960,BMW,5 SERIES,2015,71064,1080000,白,2000,汽 油,手 自 排,2,U-car
961,AUDI,RS6,2013,80000,2480000,黑,4000,汽 油,手 自 排,2,U-car
962,MERCEDES-BENZ,E-CLASS,2016,20000,2480000,黑,3000,汽 油,手 自 排,2,U-car
963,HONDA,CIVIC,2010,244604,298000,白,2000,汽 油,手 自 排,2,U-car
964,BMW,X2 SERIES,2018,26000,1478000,白,2000,汽 油,自 手 排,2,U-car
965,MITSUBISHI,COLT PLUS,2018,42181,350000,白,1500,汽 油,自 排,2,U-car
966,TOYOTA,CAMRY,2004,190000,149000,黑,2000,汽 油,自 排,2,U-car
967,MITSUBISHI,GLOBAL LANCER,2005,210000,98000,黑,1600,汽 油,自 排,2,U-car
968,VOLKSWAGEN,TIGUAN,2019,25000,998000,白,2000,汽 油,自 手 排,2,U-car
970,NISSAN,MARCH,2006,180241,88000,白,1300,汽 油,自 排,2,U-car
972,NISSAN,TIIDA,2008,190000,148000,銀,1800,汽 油,自 排,2,U-car
975,TOYOTA,CAMRY,2003,0,98000,銀,2000,汽 油,自 排,2,U-car
977,BMW,2 SERIES,2015,0,728000,藍,2000,汽 油,自 排,2,U-car
980,BMW,2 SERIES,2020,8353,1498000,其他,1500,汽 油,手 自 排,2,U-car
981,BMW,X1 SERIES,2017,39966,1108000,黑,1500,汽 油,手 自 排,2,U-car
982,HONDA,FIT,2019,0,528000,白,1500,汽 油,自 排,2,U-car
983,NISSAN,LIVINA,2017,0,378000,銀,1600,汽 油,自 排,2,U-car
984,LEXUS,RX SERIES,2017,24181,1758000,其他,2000,汽 油,手 自 排,2,U-car
985,NISSAN,SENTRA,2016,0,268000,其他,1800,汽 油,自 排,2,U-car
986,MERCEDES-BENZ,A-CLASS,2018,9000,1580000,黑,2000,汽 油,自 手 排,2,U-car
987,BMW,X1 SERIES,2020,3000,1530000,白,1500,汽 油,手 自 排,2,U-car
988,AUDI,Q3,2017,30000,950000,白,1400,汽 油,自 手 排,2,U-car
989,HONDA,FIT,2009,0,268000,白,1500,汽 油,自 排,2,U-car
990,INFINITI,EX,2009,86000,268000,黑,3500,汽 油,手 自 排,2,U-car
992,NISSAN,KICKS,2020,9167,698000,白,1500,汽 油,自 排,2,U-car
993,BMW,3 SERIES,2016,24915,1298000,黑,2000,汽 油,手 自 排,2,U-car
994,TOYOTA,ALTIS,2009,112000,268000,白,1800,汽 油,手 自 排,2,U-car
995,TOYOTA,WISH,2015,95173,498000,銀,2000,汽 油,手 自 排,2,U-car
996,NISSAN,LIVINA,2014,0,278000,銀,1600,汽 油,自 排,2,U-car
997,MERCEDES-BENZ,C-CLASS,2017,17229,1538000,白,2000,汽 油,手 自 排,2,U-car
998,MAZDA,TRIBUTE,2002,0,88000,黑,2000,汽 油,自 排,2,U-car
999,BMW,X1 SERIES,2017,42927,1090000,白,1500,汽 油,手 自 排,2,U-car
1000,MAZDA,3,2013,0,368000,黑,2000,汽 油,自 排,2,U-car
1002,FORD,MUSTANG,2016,0,1168000,其他,2300,汽 油,自 排,2,U-car
1003,MERCEDES-BENZ,E-CLASS,2016,46341,1450000,鐵灰,2000,汽 油,手 自 排,2,U-car
1004,TOYOTA,AURIS,2018,0,708000,藍,2000,汽 油,自 排,2,U-car
1005,MERCEDES-BENZ,GLC-CLASS,2021,200,5880000,黑,4000,汽 油,自 手 排,2,U-car
1006,JAGUAR,F-PACE,2016,58000,1598000,藍,3000,汽 油,自 排,2,U-car
1007,MERCEDES-BENZ,C-CLASS,2014,0,798000,白,2000,汽 油,自 排,2,U-car
1008,MERCEDES-BENZ,GLC-CLASS,2021,10,2680000,黑,2000,汽 油,手 自 排,2,U-car
1009,MITSUBISHI,OUTLANDER,2017,117814,518000,黑,2400,汽 油,自 排,2,U-car
1010,TOYOTA,RAV-4,2013,102000,558000,白,2000,汽 油,手 自 排,2,U-car
1011,MITSUBISHI,COLT PLUS,2018,98154,328000,白,1500,汽 油,手 自 排,2,U-car
1012,MITSUBISHI,LANCER FORTIS,2009,123795,198000,銀,1800,汽 油,手 自 排,2,U-car
1013,HYUNDAI,KONA,2019,20709,690000,鐵灰,1600,汽 油,自 排,2,U-car
1014,BMW,M6,2012,57000,2280000,藍,4400,汽 油,手 自 排,2,U-car
1015,FORD,TIERRA,2003,125000,60000,銀,1600,汽 油,自 排,2,U-car
1016,MERCEDES-BENZ,C-CLASS,2017,0,1388000,黑,2000,汽 油,自 排,2,U-car
1017,INFINITI,Q SEDAN,2017,0,928000,黑,2000,汽 油,自 排,2,U-car
1020,MITSUBISHI,ZINGER,2017,0,368000,銀,2400,汽 油,自 排,2,U-car
1021,TOYOTA,ALTIS,2016,80865,498000,白,1800,汽 油,自 排,2,U-car
1022,MERCEDES-BENZ,GLA-CLASS,2015,35000,1268000,黑,2000,汽 油,手 自 排,2,U-car
1023,VOLKSWAGEN,CARAVELLE,2017,249052,790000,黑,2000,柴 油,自 手 排,2,U-car
1024,MERCEDES-BENZ,CLA-CLASS,2016,52000,1358000,白,2000,汽 油,手 自 排,2,U-car
1025,LEXUS,RX SERIES,2019,0,1998000,白,2000,汽 油,手 自 排,2,U-car
1026,MERCEDES-BENZ,C-CLASS,2019,38442,1798000,白,2000,汽 油,手 自 排,2,U-car
1027,MERCEDES-BENZ,GLC-CLASS,2020,3301,2298000,白,2000,汽 油,手 自 排,2,U-car
1029,MERCEDES-BENZ,C-CLASS,2017,39960,1498000,白,2000,汽 油,手 自 排,2,U-car
1030,MERCEDES-BENZ,E-CLASS,2018,0,1288000,銀,2000,汽 油,自 排,2,U-car
1031,PORSCHE,PANAMERA,2018,12300,5980000,藍,2900,汽 油,自 手 排,2,U-car
1032,AUDI,A5 SPORTBACK,2019,15000,1620000,黑,2000,汽 油,自 手 排,2,U-car
1033,BMW,5 SERIES,2007,172596,298000,銀,2500,汽 油,手 自 排,2,U-car
1034,MERCEDES-BENZ,GLC-CLASS,2018,31727,1698000,鐵灰,2000,汽 油,手 自 排,2,U-car
1035,LUXGEN,U6,2016,60000,438000,白,1800,汽 油,手 自 排,2,U-car
1036,HYUNDAI,I10,2009,0,138000,藍,1200,汽 油,自 排,2,U-car
1037,MITSUBISHI,LANCER FORTIS,2017,34072,428000,黑,1800,汽 油,手 自 排,2,U-car
1038,NISSAN,TEANA,2015,102679,288000,白,2000,汽 油,手 自 排,2,U-car
1039,TOYOTA,ALTIS,2016,100000,488000,黑,1800,汽 油,自 手 排,2,U-car
1041,MERCEDES-BENZ,SL-CLASS,2003,130000,588000,白,5500,汽 油,手 自 排,4,U-car
1043,MITSUBISHI,VERYCA,2018,105087,338000,銀,1300,汽 油,手 排,2,U-car
1044,TOYOTA,COROLLA,1999,200000,38000,其他,1800,汽 油,自 排,2,U-car
1045,MERCEDES-BENZ,S-CLASS,2011,79000,588000,黑,3500,油電,手 自 排,2,U-car
1047,TOYOTA,CAMRY,2000,230000,128000,黑,3000,汽 油,自 排,2,U-car
1048,BMW,5 SERIES,2011,149630,598000,銀,2000,柴 油,手 自 排,2,U-car
1049,HONDA,CRV,2018,15000,888000,白,1500,汽 油,自 排,2,U-car
1050,BMW,X6 SERIES,2020,5500,3490000,白,3000,汽 油,手 自 排,2,U-car
1051,SUBARU,FORESTER,2017,70000,588000,銀,2000,汽 油,手 自 排,2,U-car
1052,LUXGEN,U6,2014,80000,358000,黑,2000,汽 油,手 自 排,2,U-car
1053,MITSUBISHI,VERYCA,2004,110000,158000,白,1200,汽 油,手 排,2,U-car
1054,BMW,5 SERIES,2012,79000,688000,白,2000,柴 油,自 手 排,2,U-car
1055,MERCEDES-BENZ,E-CLASS,2004,67000,298000,黑,2600,汽 油,手 自 排,2,U-car
1056,MERCEDES-BENZ,E-CLASS,2014,90000,1230000,銀,3500,汽 油,自 排,2,U-car
1057,DAIHATSU,TERIOS,2007,240000,298000,黑,1500,汽 油,自 排,2,U-car
1058,MERCEDES-BENZ,C-CLASS ESTATE,2015,12345,2660000,黑,4000,汽 油,手 自 排,2,U-car
1059,MERCEDES-BENZ,E-CLASS,2012,80000,850000,白,1800,汽 油,手 自 排,2,U-car
1060,SUBARU,LEVORG,2017,37837,838000,其他,1600,汽 油,手 自 排,2,U-car
1061,HONDA,HR-V,2017,30000,620000,白,1800,汽 油,手 自 排,2,U-car
1062,MERCEDES-BENZ,S-CLASS COUPE,2016,66000,3380000,黑,3000,汽 油,手 自 排,2,U-car
1063,LEXUS,NX SERIES,2015,120000,1130000,白,2000,汽 油,手 自 排,2,U-car
1064,MAZDA,5,2013,90000,418000,銀,2000,汽 油,手 自 排,2,U-car
1065,HONDA,CIVIC,2013,82000,428000,白,1800,汽 油,自 手 排,2,U-car
1066,TOYOTA,CAMRY,2013,159275,308000,銀,2500,油電,手 自 排,2,U-car
1067,BMW,3 SERIES,2001,0,118000,黑,1900,汽 油,手 自 排,2,U-car
1068,BMW,1 SERIES,2014,106218,618000,藍,1600,汽 油,手 自 排,2,U-car
1069,TOYOTA,ALTIS,2003,200000,98000,其他,1800,汽 油,手 自 排,2,U-car
1070,VOLKSWAGEN,GOLF,2012,126082,288000,銀,1600,汽 油,手 自 排,2,U-car
1071,MINI,COOPER S,2012,130000,758000,紅,1600,汽 油,手 自 排,2,U-car
1072,TOYOTA,RAV-4,2017,154028,598000,銀,2000,汽 油,手 自 排,2,U-car
1073,ŠKODA,FABIA,2017,50000,488000,白,1000,汽 油,手 自 排,2,U-car
1074,MERCEDES-BENZ,C-CLASS,2012,152120,668000,其他,1800,汽 油,手 自 排,2,U-car
1075,MERCEDES-BENZ,C-CLASS ESTATE,2018,28827,1830000,白,2000,汽 油,自 手 排,2,U-car
1076,TOYOTA,ALTIS,2016,100150,418000,銀,1800,汽 油,手 自 排,2,U-car
1077,HONDA,CRV,2005,260000,168000,其他,2000,汽 油,自 排,2,U-car
1078,NISSAN,SERENA QRV,2011,180000,288000,銀,2500,汽 油,自 排,2,U-car
1079,NISSAN,TEANA,2006,170000,108000,黑,2300,汽 油,自 排,2,U-car
1080,VOLKSWAGEN,BEETLE,2006,130000,188000,其他,1600,汽 油,自 排,2,U-car
1081,NISSAN,TIIDA,2010,200000,218000,黑,1800,汽 油,自 排,2,U-car
1086,TOYOTA,TERCEL,1995,234276,48000,黑,1500,汽 油,自 排,2,U-car
1087,SUBARU,LEVORG,2019,0,1128000,藍,2000,汽 油,自 排,2,U-car
1088,VOLVO,V40,2017,51000,798000,銀,1500,汽 油,手 自 排,2,U-car
1089,TOYOTA,PREVIA,2009,96923,658000,其他,2400,汽 油,手 自 排,2,U-car
1091,BMW,4 SERIES COUPE,2014,60642,1428000,黑,3000,汽 油,自 手 排,2,U-car
1092,MERCEDES-BENZ,CLA-CLASS,2015,0,1588000,黑,2000,汽 油,自 排,2,U-car
1093,MERCEDES-BENZ,C-CLASS ESTATE,2011,165000,898000,白,6200,汽 油,手 自 排,2,U-car
1095,TOYOTA,VIOS,2018,92137,358000,其他,1500,汽 油,手 自 排,2,U-car
1096,MAZDA,3,2018,70000,700000,白,2000,汽 油,手 自 排,2,U-car
1097,NISSAN,MARCH,2018,73672,328000,白,1500,汽 油,手 自 排,2,U-car
1098,TOYOTA,ALPHARD,2010,263008,660000,黑,3500,汽 油,手 自 排,2,U-car
1099,MERCEDES-BENZ,CLA-CLASS,2017,0,1398000,白,2000,汽 油,自 排,2,U-car
1100,BMW,X3 SERIES,2018,47000,2299000,藍,3000,汽 油,手 自 排,2,U-car
1101,BMW,5 SERIES,2017,47000,1398000,藍,2000,柴 油,手 自 排,2,U-car
1102,MAZDA,3,2015,79000,538000,白,2000,汽 油,自 排,2,U-car
1103,BMW,3 SERIES,2012,0,898000,黑,2000,汽 油,自 排,2,U-car
1104,LEXUS,RX SERIES,2016,146245,1298000,其他,2000,汽 油,手 自 排,2,U-car
1105,MERCEDES-BENZ,C-CLASS ESTATE,2015,105000,1288000,白,2000,汽 油,手 自 排,2,U-car
1106,VOLVO,S60,2016,165000,568000,銀,2000,柴 油,手 自 排,2,U-car
1107,VOLKSWAGEN,GOLF,2018,33000,698000,白,1000,汽 油,手 自 排,2,U-car
1108,INFINITI,FX,2010,0,588000,其他,3500,汽 油,自 排,2,U-car
1109,BMW,3 SERIES,2014,0,898000,白,2000,汽 油,自 排,2,U-car
1110,MERCEDES-BENZ,CLA-CLASS,2015,0,1688000,白,2000,汽 油,自 排,2,U-car
1111,MERCEDES-BENZ,E-CLASS,2004,124000,239000,銀,2600,汽 油,手 自 排,2,U-car
1112,MITSUBISHI,VERYCA,2012,0,268000,藍,1200,汽 油,自 排,2,U-car
1113,MERCEDES-BENZ,C-CLASS,2015,0,1128000,白,2000,汽 油,自 排,2,U-car
1114,MAZDA,3,2004,177946,88000,白,2000,汽 油,手 自 排,2,U-car
1115,HONDA,HR-V,2018,39773,658000,白,1800,汽 油,手 自 排,2,U-car
1117,MERCEDES-BENZ,V-CLASS,2017,71474,1490000,黑,2100,柴 油,手 自 排,2,U-car
1118,TOYOTA,ZACE SURF,2002,0,138000,銀,2400,汽 油,自 排,2,U-car
1119,INFINITI,G SEDAN,2010,0,488000,白,3700,汽 油,自 排,2,U-car
1120,BMW,5 SERIES,2017,56866,1660000,白,2000,汽 油,手 自 排,2,U-car
1122,VOLKSWAGEN,GOLF,2018,0,788000,白,1000,汽 油,自 排,2,U-car
