,car_brand,car_model,car_year,car_mileage,car_price,source
137,VOLVO,V60 2.0,2013,108000 ,560000,UsedCar
138,FORD,FIESTA 1.0,2016,71265 ,390000,UsedCar
139,LUXGEN,M7 2.2,2017,76064 ,590000,UsedCar
140,MITSUBISHI,OUTLANDER 2.4,2011,138006 ,260000,UsedCar
141,BENZ,CLA-CLASS CLA250,2016,59000 ,1330000,UsedCar
142,TOYOTA,ALTIS 1.8,2011,161000 ,310000,UsedCar
143,AUDI,TT 2.0,2011,100000 ,750000,UsedCar
144,BENZ,C-CLASS C300,2019,35950 ,1680000,UsedCar
145,TOYOTA,RAV-4 2.0,2014,76200 ,550000,UsedCar
146,BENZ,E-CLASS E55 AMG,2000,86000 ,490000,UsedCar
147,BMW,7 SERIES 740,2011,130000 ,720000,UsedCar
148,SUZUKI,JIMNY 1.5,2021,13 ,880000,UsedCar
149,SAAB,9-5 2.3,2007,290000 ,320000,UsedCar
150,TOYOTA,ALTIS 1.8,2020,21050 ,680000,UsedCar
151,VOLVO,V40 1.5,2019,12460 ,990000,UsedCar
152,TOYOTA,ALTIS 1.8,2016,59000 ,470000,UsedCar
153,HONDA,FIT 1.5,2014,112334 ,370000,UsedCar
154,NISSAN,MARCH 1.5,2017,47260 ,360000,UsedCar
155,LUXGEN,7 MPV 2.2,2011,130458 ,250000,UsedCar
156,TOYOTA,ALTIS 1.8,2018,27045 ,470000,UsedCar
157,SUZUKI,VITARA 1.6,2019,30000 ,590000,UsedCar
158,TOYOTA,YARIS 1.5,2010,124115 ,230000,UsedCar
159,BENZ,C-CLASS C250,2016,80000 ,1190000,UsedCar
160,AUDI,Q5 2.0,2015,70000 ,910000,UsedCar
161,FORD,FOCUS 1.5,2019,68000 ,760000,UsedCar
162,BENZ,CLA-CLASS CLA250,2014,82500 ,990000,UsedCar
163,NISSAN,X-TRAIL 2.0,2017,24000 ,650000,UsedCar
164,CMC,VERYCA廂車 1.3L,2016,50000 ,330000,UsedCar
165,MAZDA,3 1.6,2013,112651 ,290000,UsedCar
166,AUDI,A6 1.8,2015,52000 ,890000,UsedCar
167,HONDA,CITY 1.5,2019,80000 ,460000,UsedCar
168,MAZDA,CX-9 2.5,2018,41397 ,1160000,UsedCar
169,NISSAN,TIIDA 1.8,2006,153000 ,180000,UsedCar
170,SMART,FORFOUR 1.0,2016,45949 ,490000,UsedCar
171,BENZ,C-CLASS C300,2018,40898 ,1470000,UsedCar
172,MAZDA,ISAMU  GENKI 1.6,2007,296533 ,90000,UsedCar
173,BENZ,S-CLASS S350,2009,190000 ,410000,UsedCar
174,AUDI,RS6 4.0,2014,50000 ,2580000,UsedCar
